region;Depression_rate2022;GINI;GPI;Avg_temp;Education_idx;GDP_pc;Urbanisation;Internet_usage
Spain;5.2;34.7;1.603;13.3;0.831;39121;80.8;84.6022457
Sri Lanka;4.1;39.8;2.02;26.95;0.746;13214;18.7;21.3
Sudan;3.6;34.2;3.007;26.9;0.345;4098;35.3;18.6
Sweden;4.9;28.8;1.564;2.1;0.918;54146;88;93.00626697
Switzerland;5;32.7;1.357;5.5;0.9;72874;73.9;89.68614767
Tajikistan;3.8;34;2.031;2;0.682;3676;27.5;21.96
Tanzania;4.1;40.5;2.001;22.35;0.429;2821;35.2;15.99999943
Thailand;4.4;36.4;2.098;26.3;0.682;18236;51.4;52.89192934
Togo;3.9;43.1;2.094;27.15;0.517;2199;42.8;12.36022497
Tunisia;4.9;32.8;1.996;19.2;0.661;10120;69.6;55.50015506
Turkey;4.4;41.9;2.785;11.1;0.731;30253;76.1;64.68461768
Turkmenistan;4.2;40.8;2.116;15.1;0.653;16520;52.5;21.25099741
Uganda;4.6;42.8;2.309;22.8;0.523;2574;25;8.1
Ukraine;6.3;26.1;2.971;8.3;0.799;13110;69.6;58.88947945
United Arab Emirates;5.1;32.5;1.865;27;0.802;58753;87;94.81992254
UK;4.5;34.8;1.667;8.45;0.928;44117;83.9;90.42455049
USA;5.9;41.1;2.44;8.55;0.9;63416;82.7;87.27488917
Uruguay;5;39.7;1.795;17.55;0.765;22459;95.5;70.3223544
Uzbekistan;4.2;36.8;2.001;12.05;0.729;7449;50.4;48.69999885
Venezuela;4.2;39;2.798;25.35;0.7;5178;88.3;61.6
Vietnam;4;35.7;1.786;24.45;0.63;10869;37.3;58.14
Yemen;3.6;36.7;3.394;23.85;0.35;1927;36.6;26.71835477
Zambia;4;57.1;1.841;21.4;0.557;3342;44.6;12.2
Zimbabwe;4;44.3;2.35;21;0.587;2622;34.3;24.4
